campaign,ad_group,language,title_zh,title_en,landing_page,final_url,path_1,path_2,headline_1,headline_2,headline_3,description_1,description_2,valid
"configurator_rtx_pro_6000_workstation","rtx-pro-6000-workstation","zh","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=zh_search_ad","configurator","quote","RTX工作站報價","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_rtx_pro_6000_workstation","rtx-pro-6000-workstation","en","RTX PRO 6000 AI 工作站配置器","RTX PRO 6000 AI Workstation Configurator","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/","https://eudaemonia.tech/solutions/rtx-pro-6000-workstation/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_rtx_pro_6000_workstation&utm_content=en_search_ad","configurator","quote","RTX PRO 6000 Workstation","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_ai_workstation_taiwan","ai-workstation-taiwan","zh","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_ai_workstation_taiwan&utm_content=zh_search_ad","configurator","quote","台灣AI工作站","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_ai_workstation_taiwan","ai-workstation-taiwan","en","台灣 AI 工作站配置器","AI Workstation Taiwan Configurator","https://eudaemonia.tech/solutions/ai-workstation-taiwan/","https://eudaemonia.tech/solutions/ai-workstation-taiwan/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_ai_workstation_taiwan&utm_content=en_search_ad","configurator","quote","AI Workstation Taiwan","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_liquid_cooled_gpu_server","liquid-cooled-gpu-server","zh","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=zh_search_ad","configurator","quote","液冷AI伺服器","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_liquid_cooled_gpu_server","liquid-cooled-gpu-server","en","液冷 GPU 伺服器配置器","Liquid-Cooled GPU Server Configurator","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/","https://eudaemonia.tech/solutions/liquid-cooled-gpu-server/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_liquid_cooled_gpu_server&utm_content=en_search_ad","configurator","quote","Liquid GPU Server Quote","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_gpu_server_quote","gpu-server-quote","zh","GPU 伺服器報價配置器","GPU Server Quote Configurator","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_gpu_server_quote&utm_content=zh_search_ad","configurator","quote","GPU伺服器報價","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_gpu_server_quote","gpu-server-quote","en","GPU 伺服器報價配置器","GPU Server Quote Configurator","https://eudaemonia.tech/solutions/gpu-server-quote/","https://eudaemonia.tech/solutions/gpu-server-quote/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_gpu_server_quote&utm_content=en_search_ad","configurator","quote","GPU Server Quote","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_h200_vs_rtx_pro_6000","h200-vs-rtx-pro-6000","zh","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=zh_search_ad","configurator","quote","AI GPU比較","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_h200_vs_rtx_pro_6000","h200-vs-rtx-pro-6000","en","NVIDIA H200 與 RTX PRO 6000 GPU 伺服器比較","NVIDIA H200 vs RTX PRO 6000 GPU Server Comparison","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/","https://eudaemonia.tech/solutions/h200-vs-rtx-pro-6000/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_h200_vs_rtx_pro_6000&utm_content=en_search_ad","configurator","quote","H200 vs RTX PRO 6000","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_gpu_server_rfq_checklist","gpu-server-rfq-checklist","zh","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=zh_search_ad","configurator","quote","GPU採購檢核","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_gpu_server_rfq_checklist","gpu-server-rfq-checklist","en","AI 採購 GPU 伺服器 RFQ 檢核表","GPU Server RFQ Checklist for AI Procurement","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/","https://eudaemonia.tech/solutions/gpu-server-rfq-checklist/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_gpu_server_rfq_checklist&utm_content=en_search_ad","configurator","quote","GPU Server RFQ Checklist","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_liquid_cooling_ai_server_procurement","liquid-cooling-ai-server-procurement","zh","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=zh_search_ad","configurator","quote","液冷採購規劃","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_liquid_cooling_ai_server_procurement","liquid-cooling-ai-server-procurement","en","液冷 AI 伺服器採購指南","Liquid-Cooling AI Server Procurement Guide","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/","https://eudaemonia.tech/solutions/liquid-cooling-ai-server-procurement/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_liquid_cooling_ai_server_procurement&utm_content=en_search_ad","configurator","quote","Liquid AI Server Guide","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_gpu_server_power_planning","gpu-server-power-planning","zh","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_gpu_server_power_planning&utm_content=zh_search_ad","configurator","quote","GPU電力規劃","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_gpu_server_power_planning","gpu-server-power-planning","en","GPU 伺服器電力規劃配置器","GPU Server Power Planning Configurator","https://eudaemonia.tech/solutions/gpu-server-power-planning/","https://eudaemonia.tech/solutions/gpu-server-power-planning/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_gpu_server_power_planning&utm_content=en_search_ad","configurator","quote","GPU Power Planning","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_rack_ai_server_deployment","rack-ai-server-deployment","zh","機架式 AI 伺服器部署配置器","Rack AI Server Deployment Configurator","https://eudaemonia.tech/solutions/rack-ai-server-deployment/","https://eudaemonia.tech/solutions/rack-ai-server-deployment/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_rack_ai_server_deployment&utm_content=zh_search_ad","configurator","quote","機架AI伺服器","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_rack_ai_server_deployment","rack-ai-server-deployment","en","機架式 AI 伺服器部署配置器","Rack AI Server Deployment Configurator","https://eudaemonia.tech/solutions/rack-ai-server-deployment/","https://eudaemonia.tech/solutions/rack-ai-server-deployment/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_rack_ai_server_deployment&utm_content=en_search_ad","configurator","quote","Rack AI Server Deploy","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_taiwan_public_procurement_gpu_server","taiwan-public-procurement-gpu-server","zh","台灣公部門 GPU 伺服器採購檢核表","Taiwan Public Procurement GPU Server Checklist","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_taiwan_public_procurement_gpu_server&utm_content=zh_search_ad","configurator","quote","公部門GPU採購","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_taiwan_public_procurement_gpu_server","taiwan-public-procurement-gpu-server","en","台灣公部門 GPU 伺服器採購檢核表","Taiwan Public Procurement GPU Server Checklist","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/","https://eudaemonia.tech/solutions/taiwan-public-procurement-gpu-server/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_taiwan_public_procurement_gpu_server&utm_content=en_search_ad","configurator","quote","Public GPU Procurement","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_supermicro_comino_gpu_server_comparison","supermicro-comino-gpu-server-comparison","zh","Supermicro 與 Comino GPU 伺服器配置比較","Supermicro and Comino GPU Server Configuration Comparison","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_supermicro_comino_gpu_server_comparison&utm_content=zh_search_ad","configurator","quote","GPU伺服器比較","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_supermicro_comino_gpu_server_comparison","supermicro-comino-gpu-server-comparison","en","Supermicro 與 Comino GPU 伺服器配置比較","Supermicro and Comino GPU Server Configuration Comparison","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/","https://eudaemonia.tech/solutions/supermicro-comino-gpu-server-comparison/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_supermicro_comino_gpu_server_comparison&utm_content=en_search_ad","configurator","quote","Supermicro vs Comino","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
"configurator_ai_inference_server_taiwan","ai-inference-server-taiwan","zh","台灣 AI 推論伺服器配置器","AI Inference Server Taiwan Configurator","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_ai_inference_server_taiwan&utm_content=zh_search_ad","configurator","quote","AI推論伺服器","液冷AI配置","EudTech詢價","整理GPU、CPU、記憶體與NVMe配置，送出後由EudTech追蹤正式報價。","適合AI訓練、推論、HPC與採購規格確認。","yes"
"configurator_ai_inference_server_taiwan","ai-inference-server-taiwan","en","台灣 AI 推論伺服器配置器","AI Inference Server Taiwan Configurator","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/","https://eudaemonia.tech/solutions/ai-inference-server-taiwan/?utm_source=google&utm_medium=cpc&utm_campaign=configurator_ai_inference_server_taiwan&utm_content=en_search_ad","configurator","quote","AI Inference Server TW","Configure With EudTech","Formal RFQ Follow-Up","Configure GPU, CPU, memory, NVMe, power, and network assumptions before RFQ.","Send the selected build to EudTech for formal quote follow-up.","yes"
